GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReplicaFilteringProtection.new UnfilteredPartitionIterators.MergeListener() {...},66,0,2,0,9,0,4,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReplicaFilteringProtection.PartitionBuilder,280,0,22,0,58,0,20,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor.SpeculatingReadExecutor,26,96,6,10,4,24,6,7,0,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ResponseResolver,35,44,3,1,6,12,3,4,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor.NeverSpeculatingReadExecutor,0,23,0,4,0,6,0,4,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,NeverSpeculativeRetryPolicy,11,25,0,4,2,5,2,7,2,5
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReplicaFilteringProtection.1.new UnfilteredRowIterators.MergeListener() {...},132,0,20,0,22,0,15,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReadCallback,170,260,35,29,24,59,27,18,2,11
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DigestResolver,109,140,12,22,18,32,11,16,2,8
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryHolder.CompactionHistoryRow,98,0,0,0,23,0,3,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TpStatsPrinter,23,0,3,0,5,0,4,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,DataPathsPrinter.DefaultPrinter,68,0,6,0,15,0,5,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TableStatsPrinter.DefaultPrinter,589,0,38,0,86,0,21,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryPrinter.DefaultPrinter,128,0,8,0,25,0,6,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,StatsPrinter.YamlPrinter,22,0,0,0,6,0,2,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TpStatsHolder,171,0,4,0,27,0,4,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TpStatsPrinter.DefaultPrinter,326,0,8,0,38,0,6,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,StatsPrinter.JsonPrinter,52,0,10,0,9,0,7,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,StatsTableComparator,1011,0,188,0,153,0,100,0,6,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,StatsKeyspace,136,0,8,0,22,0,8,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TableStatsPrinter,29,0,5,0,7,0,5,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TableStatsHolder.OptionFilter,222,0,32,0,36,0,21,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryPrinter,23,0,3,0,5,0,4,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,StatsTable,37,0,0,0,11,0,1,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TableStatsPrinter.SortedDefaultPrinter,80,0,8,0,14,0,5,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,DataPathsHolder,105,0,10,0,27,0,7,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,DataPathsPrinter,23,0,4,0,6,0,4,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,TableStatsHolder,1489,0,100,0,273,0,63,0,13,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.tools.nodetool.stats,CompactionHistoryHolder,116,0,6,0,29,0,5,0,2,0
JaCoCo Cassandara Coverage Report,com.datastax.driver.core,PreparedStatementHelper,186,0,12,0,36,0,19,0,13,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ClusteringBoundary,16,0,0,0,3,0,3,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadCommand.Serializer,80,250,13,21,10,50,13,17,1,12
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadCommand.DelayInjector,0,12,0,0,0,4,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,Slices.SelectAllSlices.new Slices.InOrderTester() {...},4,3,0,0,2,1,2,1,2,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadResponse.LocalDataResponse,16,28,0,0,4,6,1,2,1,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,DataRange,292,95,41,5,52,19,35,14,12,14
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,MutableDeletionInfo.Builder,8,75,2,6,0,17,2,6,0,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ColumnFamilyStore.Flush.new WrappedRunnable() {...},0,19,0,0,0,4,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ClockAndCount,62,29,8,0,8,8,7,4,3,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadQuery.new ReadQuery() {...},28,10,0,0,12,3,12,3,12,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,PreHashedDecoratedKey,0,22,0,0,0,7,0,2,0,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.db,ReadCommand.SelectionDeserializer,0,3,0,0,0,1,0,1,0,1
